image_id,angle,speed
1.png,0.4375,0
2.png,0.8125,1
3.png,0.4375,1
4.png,0.625,1
5.png,0.5,0
6.png,0.125,1
7.png,0.75,0
8.png,0.5,1
9.png,0.5,0
10.png,0.5,0
11.png,0.6875,0
12.png,0.625,1
13.png,0.4375,0
14.png,0.875,1
15.png,0.625,1
16.png,0.5,1
17.png,0.75,1
18.png,0.75,1
19.png,0.6875,0
20.png,0.625,0
21.png,0.625,1
22.png,0.3125,0
23.png,0.75,1
24.png,0.75,1
25.png,0.5,1
26.png,0.6875,1
27.png,0.625,1
28.png,0.75,1
29.png,0.5,0
30.png,0.4375,1
31.png,0.4375,1
32.png,0.5625,0
33.png,0.8125,1
34.png,0.875,0
35.png,0.5,1
36.png,0.4375,1
37.png,0.625,1
38.png,0.6875,0
39.png,0.5625,1
40.png,0.5,1
41.png,0.75,1
42.png,0.5,1
43.png,0.8125,1
44.png,0.6875,1
45.png,0.5,1
46.png,0.6875,1
47.png,0.75,0
48.png,0.6875,1
49.png,0.8125,1
50.png,0.4375,1
51.png,0.6875,0
52.png,0.625,1
53.png,0.8125,1
54.png,0.3125,0
55.png,0.6875,1
56.png,0.8125,1
57.png,0.6875,1
58.png,0.5625,1
59.png,0.5625,1
60.png,0.625,0
61.png,0.4375,1
62.png,0.6875,1
63.png,0.75,1
64.png,0.625,1
65.png,0.6875,1
66.png,0.5625,1
67.png,0.3125,1
68.png,0.75,1
69.png,0.6875,1
70.png,0.625,1
71.png,0.5625,1
72.png,0.625,1
73.png,0.6875,1
74.png,0.6875,1
75.png,0.6875,1
76.png,0.75,1
77.png,0.75,1
78.png,0.5625,1
79.png,0.8125,1
80.png,0.75,1
81.png,0.625,1
82.png,0.875,1
83.png,0.625,1
84.png,0.375,1
85.png,0.125,1
86.png,0.4375,0
87.png,0.6875,1
88.png,0.4375,1
89.png,0.5,0
90.png,0.25,1
91.png,0.8125,1
92.png,0.5,1
93.png,0.75,0
94.png,0.5625,0
95.png,0.375,1
96.png,0.75,1
97.png,0.6875,1
98.png,0.625,0
99.png,0.5625,1
100.png,0.5,1
101.png,0.6875,1
102.png,0.75,1
103.png,0.5625,0
104.png,0.5,1
105.png,0.875,1
106.png,0.75,1
107.png,0.6875,1
108.png,0.75,1
109.png,0.5625,0
110.png,0.5,1
111.png,0.5,1
112.png,0.5,1
113.png,0.5,1
114.png,0.6875,1
115.png,0.9375,0
116.png,0.6875,0
117.png,0.75,1
118.png,0.5625,1
119.png,0.5625,1
120.png,0.5625,0
121.png,0.6875,0
122.png,0.4375,1
123.png,0.75,1
124.png,0.6875,1
125.png,0.9375,1
126.png,0.4375,1
127.png,0.625,1
128.png,0.875,1
129.png,0.5625,1
130.png,0.6875,1
131.png,0.75,1
132.png,0.75,1
133.png,0.5625,1
134.png,0.75,1
135.png,0.5625,1
136.png,0.75,1
137.png,0.6875,0
138.png,0.6875,1
139.png,0.125,1
140.png,0.6875,0
141.png,0.6875,0
142.png,0.75,0
143.png,0.625,1
144.png,0.875,1
145.png,0.75,1
146.png,0.5,0
147.png,0.75,0
